condition,wavelength,irradiance
overcast,550,0.407
overcast,560,0.3982
overcast,570,0.3872
overcast,580,0.3784
overcast,590,0.3674
overcast,600,0.3564
overcast,610,0.3454
overcast,620,0.3344
overcast,630,0.3234
overcast,640,0.3124
overcast,650,0.3014
overcast,660,0.2904
overcast,670,0.2772
overcast,680,0.264
overcast,690,0.2508
overcast,700,0.2376
overcast,710,0.2244
overcast,720,0.2112
overcast,730,0.198
overcast,740,0.1848
overcast,750,0.1716
overcast,760,0.1584
overcast,770,0.1452
overcast,780,0.132
overcast,790,0.1188
overcast,800,0.1056
underwater_1m,300,0
underwater_1m,310,0.00847588080225824
underwater_1m,320,0.118662331231615
underwater_1m,330,0.305131708881297
underwater_1m,340,0.550932252146786
underwater_1m,350,0.754353391400983
underwater_1m,360,0.949298649852923
underwater_1m,370,1.03405745787551
underwater_1m,380,0.949298649852923
underwater_1m,390,0.86453984183034
underwater_1m,400,0.847588080225824
underwater_1m,410,1.03405745787551
underwater_1m,420,1.21205095472293
underwater_1m,430,1.24595447793196
underwater_1m,440,1.27985800114099
underwater_1m,450,1.32223740515229
underwater_1m,460,1.35614092836132
underwater_1m,470,1.40699621317487
underwater_1m,480,1.45785149798842
underwater_1m,490,1.50870678280197
underwater_1m,500,1.73284674179502
underwater_1m,510,1.77051732313839
underwater_1m,520,1.78935261381007
underwater_1m,530,1.78935261381007
underwater_1m,540,1.77051732313839
underwater_1m,550,1.74226438713086
underwater_1m,560,1.70459380578749
underwater_1m,570,1.65750557910828
underwater_1m,580,1.61983499776491
underwater_1m,590,1.5727467710857
underwater_1m,600,1.52565854440648
underwater_1m,610,1.47857031772727
underwater_1m,620,1.43148209104806
underwater_1m,630,1.38439386436885
underwater_1m,640,1.33730563768963
underwater_1m,650,1.29021741101042
underwater_1m,660,1.24312918433121
underwater_1m,670,1.18662331231615
underwater_1m,680,1.1301174403011
underwater_1m,690,1.07361156828604
underwater_1m,700,1.01710569627099
underwater_1m,710,0.960599824255934
underwater_1m,720,0.904093952240879
underwater_1m,730,0.847588080225824
underwater_1m,740,0.791082208210769
underwater_1m,750,0.734576336195714
underwater_1m,760,0.678070464180659
underwater_1m,770,0.621564592165604
underwater_1m,780,0.565058720150549
underwater_1m,790,0.508552848135494
underwater_1m,800,0.452046976120439
underwater_10m,300,0
underwater_10m,310,0.00439049308875221
underwater_10m,320,0.061466903242531
underwater_10m,330,0.15805775119508
underwater_10m,340,0.285382050768894
underwater_10m,350,0.390753884898947
underwater_10m,360,0.491735225940248
underwater_10m,370,0.53564015682777
underwater_10m,380,0.491735225940248
underwater_10m,390,0.447830295052726
underwater_10m,400,0.439049308875221
underwater_10m,410,0.53564015682777
underwater_10m,420,0.627840511691566
underwater_10m,430,0.645402484046575
underwater_10m,440,0.662964456401584
underwater_10m,450,0.684916921845345
underwater_10m,460,0.702478894200354
underwater_10m,470,0.728821852732867
underwater_10m,480,0.75516481126538
underwater_10m,490,0.781507769797894
underwater_10m,500,0.807850728330407
underwater_10m,510,0.825412700685416
underwater_10m,520,0.83419368686292
underwater_10m,530,0.83419368686292
underwater_10m,540,0.825412700685416
underwater_10m,550,0.812241221419159
underwater_10m,560,0.79467924906415
underwater_10m,570,0.772726783620389
underwater_10m,580,0.75516481126538
underwater_10m,590,0.733212345821619
underwater_10m,600,0.266722455141697
underwater_10m,610,0.258490280600286
underwater_10m,620,0.250258106058876
underwater_10m,630,0.242025931517466
underwater_10m,640,0.233793756976055
underwater_10m,650,0.225561582434645
underwater_10m,660,0.217329407893234
underwater_10m,670,0.207450798443542
underwater_10m,680,0.19757218899385
underwater_10m,690,0.187693579544157
underwater_10m,700,0.177814970094465
underwater_10m,710,0.167936360644772
underwater_10m,720,0.15805775119508
underwater_10m,730,0.148179141745387
underwater_10m,740,0.138300532295695
underwater_10m,750,0.128421922846002
underwater_10m,760,0.11854331339631
underwater_10m,770,0.108664703946617
underwater_10m,780,0.0987860944969248
underwater_10m,790,0.0889074850472323
underwater_10m,800,0.0790288755975398
